time,race1,race2,supplyUsed1,supplyUsed2,supplyMade1,supplyMade2,totalIncome1,totalIncome2,mineralsIncome1,mineralsIncome2,vespeneIncome1,vespeneIncome2,totalResources1,totalResources2,minerals1,minerals2,vespene1,vespene2,activeWorkers1,activeWorkers2,army1,army2,technology1,technology2,lostResources1,lostResources2,winner
214,2,0,47.0,33.0,54.0,46.0,1796,1387,1483,1231,313,156,243,401,105,155,138,246,34,25,675,300,600,375,0,50,0
221,2,0,51.0,34.0,54.0,46.0,1874,1583,1539,1427,335,156,73,166,45,25,28,141,35,27,675,300,600,525,0,50,0
229,2,0,53.0,37.0,54.0,61.0,1874,1723,1539,1567,335,156,253,236,185,75,68,161,37,27,675,400,600,525,0,50,0
236,2,0,54.0,38.0,54.0,61.0,2042,1863,1707,1707,335,156,444,251,340,70,104,181,38,29,800,400,600,625,0,50,0
243,2,0,55.0,40.0,62.0,61.0,2042,1886,1707,1707,335,179,244,176,100,75,144,101,39,29,800,400,600,700,0,50,0
250,2,0,56.0,44.0,62.0,61.0,2160,1774,1847,1595,313,179,395,191,215,70,180,121,40,31,1100,500,600,850,0,50,0
257,2,0,57.0,44.0,62.0,61.0,2188,1919,1875,1763,313,156,380,187,160,75,220,112,41,31,1100,500,600,850,0,50,0
264,2,0,58.0,50.0,62.0,61.0,2244,2031,1931,1875,313,156,360,237,100,105,260,132,42,33,1100,650,750,850,0,50,0
271,2,0,60.0,52.0,70.0,61.0,2322,2311,1987,2155,335,156,335,127,135,75,200,52,44,35,1100,650,750,925,0,50,0
279,2,0,61.0,56.0,78.0,61.0,2317,2395,1959,2239,358,156,290,192,50,145,240,47,45,36,1100,700,750,925,0,50,0
286,2,0,57.0,50.0,78.0,61.0,2278,2574,1875,2351,403,223,398,504,110,425,288,79,46,38,675,450,750,925,425,400,0
293,2,0,54.0,47.0,78.0,69.0,2535,2798,1931,2463,604,335,609,669,245,550,364,119,47,39,425,200,750,925,675,700,0
300,2,0,55.0,47.0,78.0,69.0,2530,2518,1903,2183,627,335,544,644,200,485,344,159,48,38,425,125,750,925,675,950,0
307,2,0,56.0,46.0,78.0,69.0,2658,1370,1987,1035,671,335,874,535,450,340,424,195,49,36,425,175,750,925,675,1050,0
314,2,0,61.0,51.0,78.0,69.0,2541,1208,1847,895,694,313,609,311,305,180,304,131,50,39,425,275,900,925,675,1050,0
321,2,0,65.0,55.0,93.0,69.0,2546,2132,1875,1819,671,313,275,371,220,200,55,171,52,42,725,325,1150,925,675,1050,0
329,2,0,67.0,57.0,93.0,69.0,2524,2608,1875,2295,649,313,367,316,240,105,127,211,54,42,725,475,1150,925,675,1050,0
336,2,0,69.0,61.0,93.0,69.0,2748,2412,2099,2099,649,313,357,316,225,90,132,226,56,45,725,525,1400,925,675,1050,0
343,2,0,72.0,63.0,93.0,69.0,2838,2614,2211,2211,627,403,103,188,45,35,58,153,58,45,825,575,1400,925,675,1050,0
350,2,0,74.0,66.0,93.0,77.0,2978,2927,2351,2435,627,492,183,429,45,220,138,209,60,47,825,625,1400,925,675,1050,0
357,2,0,76.0,68.0,93.0,77.0,3162,3123,2491,2631,671,492,468,359,250,190,218,169,62,49,825,750,1650,1275,675,1050,0
364,2,0,83.0,72.0,93.0,77.0,3302,3045,2631,2575,671,470,374,535,180,285,194,250,65,47,925,925,1800,1275,675,1150,0
371,2,0,90.0,73.0,93.0,77.0,3224,3006,2575,2491,649,515,100,379,30,165,70,214,66,48,1275,975,2100,1275,675,1150,0
379,2,0,90.0,75.0,93.0,85.0,3454,2933,2715,2351,739,582,427,406,265,170,162,236,68,50,1275,975,2100,1425,675,1150,0
386,2,0,92.0,80.0,101.0,85.0,3571,2910,2631,2239,940,671,563,451,335,160,228,291,69,53,1450,1200,2250,1575,675,1150,0
393,2,0,98.0,84.0,109.0,85.0,3717,3050,2799,2379,918,671,390,362,200,70,190,292,69,54,1975,1200,2550,1575,675,1150,0
400,2,0,104.0,86.0,117.0,101.0,3874,3224,2911,2575,963,649,170,473,10,155,160,318,69,56,1975,1300,2550,1675,675,1150,0
407,2,0,104.0,91.0,125.0,101.0,3890,3252,2883,2603,1007,649,620,649,340,280,280,369,69,57,2500,1350,2550,2100,675,1150,0
414,2,0,104.0,99.0,125.0,101.0,3896,3510,2911,2883,985,627,471,480,75,235,396,245,69,59,3000,1475,2550,2200,675,1150,0
421,2,0,110.0,99.0,133.0,109.0,3896,3566,2911,2939,985,627,413,665,105,340,308,325,69,61,3000,1425,2550,2400,675,1200,0
429,2,0,110.0,107.0,133.0,109.0,3924,3728,2939,3079,985,649,884,205,460,175,424,30,69,63,3000,1650,2700,2400,675,1200,0
436,2,0,113.0,109.0,141.0,109.0,3795,3918,2855,3247,940,671,771,220,435,110,336,110,69,63,3000,1750,2700,2400,675,1200,0
443,2,0,123.0,110.0,141.0,125.0,3795,3913,2855,3219,940,694,576,591,120,405,456,186,69,65,3000,1775,2700,2400,675,1375,0
450,2,0,126.0,114.0,149.0,125.0,3728,3868,2743,3219,985,649,531,458,105,350,426,108,72,65,3500,2025,2700,2500,675,1425,0
457,2,0,125.0,118.0,149.0,125.0,3840,3778,2855,3107,985,671,997,597,455,455,542,142,75,67,3400,2850,2700,2500,775,1525,0
464,2,0,137.0,122.0,157.0,125.0,3806,3588,2799,2715,1007,873,852,383,190,150,662,233,75,68,3400,2850,2700,2500,775,1525,0
471,2,0,140.0,125.0,157.0,133.0,3672,3767,2687,2827,985,940,975,598,205,245,770,353,75,70,4500,2850,2700,2500,775,1525,0
479,2,0,147.0,129.0,157.0,133.0,3364,3941,2379,2911,985,1030,890,468,200,145,690,323,78,71,4500,3650,2800,2500,775,1525,0
486,2,0,147.0,133.0,180.0,133.0,3375,3896,2435,2911,940,985,1152,336,350,55,802,281,78,71,4500,3825,2800,2500,775,1525,0
493,2,0,147.0,133.0,180.0,141.0,3706,3980,2743,2995,963,985,1617,697,695,300,922,397,79,71,4500,3875,2800,2500,775,1525,0
500,2,0,157.0,140.0,180.0,141.0,3930,3851,2967,2911,963,940,823,519,135,135,688,384,79,71,4500,3875,2800,2500,775,1525,0
507,2,0,161.0,141.0,180.0,141.0,4092,3851,3107,2911,985,940,813,839,105,335,708,504,79,71,5725,4125,2800,2625,775,1525,0
514,2,0,161.0,149.0,180.0,157.0,4198,3868,3191,2883,1007,985,1205,504,385,80,820,424,79,73,5725,4575,2950,2625,775,1525,0
521,2,0,158.0,153.0,180.0,157.0,4142,3874,3135,2911,1007,963,1426,666,490,180,936,486,79,74,5425,4850,2950,2875,1075,1525,0
529,2,0,161.0,153.0,180.0,157.0,4299,4176,3135,3191,1164,985,1554,491,620,235,934,256,79,74,5925,4850,2950,2875,1075,1525,0
536,2,0,161.0,156.0,180.0,157.0,4305,4226,3051,3219,1254,1007,1645,352,705,155,940,197,79,77,5925,5150,2950,2875,1075,1525,0
543,2,0,164.0,163.0,180.0,172.0,4299,4148,3023,3163,1276,985,1865,578,915,265,950,313,79,77,5925,5150,3200,3225,1075,1525,0
550,2,0,167.0,167.0,188.0,172.0,4394,4344,3051,3359,1343,985,1995,220,1035,120,960,100,79,78,6225,5600,3450,3325,1075,1525,0
557,2,0,167.0,170.0,196.0,172.0,4299,4215,3023,3275,1276,940,2234,182,1130,120,1104,62,79,78,6225,5775,3600,3425,1075,1525,0
564,2,0,167.0,172.0,196.0,172.0,4282,4355,2939,3415,1343,940,1995,282,1035,200,960,82,79,78,6225,6125,3600,3425,1075,1525,0
571,2,0,167.0,180.0,220.0,180.0,4299,4462,3023,3499,1276,963,1308,182,200,130,1108,52,79,79,6225,6125,3600,3425,1075,1525,0
579,2,0,173.0,183.0,220.0,196.0,4148,4540,2939,3555,1209,985,1517,467,415,295,1102,172,79,80,6825,6700,3600,3425,1075,1525,0
586,2,0,173.0,185.0,220.0,196.0,4226,4081,2995,3051,1231,1030,1873,829,615,570,1258,259,79,81,6825,6700,3600,3425,1075,1525,0
593,2,0,173.0,185.0,220.0,204.0,4299,4417,3023,3275,1276,1142,2400,729,990,330,1410,399,79,81,6825,7150,3750,3425,1075,1525,0
600,2,0,177.0,189.0,236.0,220.0,4462,4333,3163,3079,1299,1254,2182,840,970,435,1212,405,79,81,7125,7500,3900,3425,1075,1525,0
607,2,0,180.0,194.0,236.0,220.0,4389,4529,3135,3275,1254,1254,2182,1125,1080,585,1102,540,79,81,7425,7625,4200,3425,1075,1525,0
614,2,0,180.0,198.0,236.0,220.0,4389,4523,3135,3247,1254,1276,2705,965,1455,615,1250,350,80,81,7425,7525,4200,3625,1075,1625,0
621,2,0,194.0,198.0,236.0,220.0,4254,4607,3023,3219,1231,1388,968,1495,695,985,273,510,80,81,7200,7750,4950,3625,1300,1625,0
629,2,0,198.0,199.0,236.0,220.0,4254,4618,3023,3275,1231,1343,976,714,805,260,171,454,80,81,9950,8200,4950,3625,1300,1625,0
636,2,0,196.0,199.0,236.0,220.0,4310,4322,3079,3023,1231,1299,1503,906,1180,450,323,456,80,81,10150,8200,4950,3775,1400,1625,0
643,2,0,196.0,194.0,236.0,205.0,4042,4036,2743,2827,1299,1209,1955,1385,1480,785,475,600,80,76,10450,8250,4950,4075,1400,2575,0
650,2,0,194.0,187.0,236.0,205.0,3834,3386,2603,2379,1231,1007,2414,1629,1795,905,619,724,80,66,10200,8250,4950,4300,1650,3075,0
657,2,0,184.0,187.0,251.0,205.0,4114,3190,2883,2183,1231,1007,2922,2014,2155,1170,767,844,80,68,8950,8850,4950,4300,2900,3075,0
664,2,0,184.0,190.0,251.0,197.0,4383,3252,3107,2267,1276,985,3139,2005,2220,1145,919,860,80,69,8950,8850,4950,4300,2900,3175,0
671,2,0,198.0,190.0,251.0,197.0,4372,3218,3163,2211,1209,1007,2578,1285,1515,805,1063,480,80,69,9500,8850,4950,4300,3150,3175,0
679,2,0,198.0,190.0,251.0,197.0,4534,3185,3303,2155,1231,1030,3114,1325,1895,900,1219,425,80,71,9500,8900,4950,4525,3150,3325,0
686,2,0,196.0,187.0,251.0,197.0,4518,3302,3219,2295,1299,1007,3649,1676,2270,1135,1379,541,80,69,9325,8800,4950,4525,3325,3625,0
693,2,0,196.0,181.0,251.0,197.0,4674,3358,3331,2351,1343,1007,4119,2317,2580,1810,1539,507,80,62,9325,8800,4950,4525,3325,3600,0
700,2,0,196.0,189.0,251.0,197.0,4434,3286,3135,2323,1299,963,4632,1014,2945,845,1687,169,80,63,9325,8800,4950,4525,3325,3750,0
707,2,0,196.0,192.0,251.0,197.0,4624,3151,3303,2211,1321,940,4679,889,2840,750,1839,139,80,63,9325,8800,5100,4525,3325,3750,0
714,2,0,197.0,190.0,259.0,197.0,4462,2916,3163,1931,1299,985,4710,1139,2965,880,1745,259,80,61,9075,8800,5250,4525,3575,3850,0
721,2,0,197.0,194.0,259.0,197.0,4501,2888,3247,1903,1254,985,4862,1285,2965,960,1897,325,80,61,9075,8800,5550,4525,3575,3850,0
729,2,0,197.0,190.0,259.0,189.0,4333,2961,3079,1931,1254,1030,5232,1411,3175,1070,2057,341,80,60,9075,8500,5550,4725,3575,4300,0
736,2,0,193.0,183.0,267.0,189.0,4456,2843,3135,1903,1321,940,5768,1604,3555,1234,2213,370,80,59,9025,8050,5550,4625,3925,4831,0
743,2,0,191.0,177.0,275.0,181.0,4590,2530,3247,1679,1343,851,6323,1893,3950,1419,2373,474,80,57,8925,8775,5550,4625,4025,5406,0
750,2,0,172.0,148.0,275.0,173.0,4568,2468,3247,1707,1321,761,5956,2209,3885,1639,2071,570,80,57,7250,7425,5550,4625,5700,7156,0
757,2,0,186.0,146.0,275.0,173.0,4518,2664,3219,1903,1299,761,4448,1646,2675,1309,1773,337,80,57,6050,6475,5550,4625,6900,8106,0
764,2,0,174.0,151.0,275.0,173.0,4389,2574,3135,1791,1254,783,4446,1143,2725,1064,1721,79,80,57,6700,6475,5550,4625,8000,8106,0
771,2,0,182.0,155.0,275.0,203.0,4081,2457,2827,1651,1254,806,4262,1121,2585,1004,1677,117,80,56,7400,6525,5700,4625,8000,8156,0
779,2,0,182.0,156.0,275.0,203.0,4294,2378,2995,1595,1299,783,4372,1288,2535,1079,1837,209,80,58,7700,6700,6000,4625,8300,8206,0
786,2,0,200.0,161.0,275.0,203.0,4310,2546,2967,1651,1343,895,2987,1350,1440,1075,1547,275,80,58,7600,6950,6000,4625,8400,8256,0
793,2,0,200.0,152.0,290.0,195.0,4344,2154,3023,1259,1321,895,3495,1563,1800,1180,1695,383,80,52,8600,7200,6000,4625,8400,8831,0
800,2,0,196.0,153.0,290.0,195.0,4316,1774,2995,1035,1321,739,4012,1312,2165,995,1847,317,80,49,8850,7800,6000,4625,8750,8981,0
807,2,0,199.0,153.0,290.0,195.0,4495,1863,3219,1035,1276,828,3214,1470,1740,1045,1474,425,80,49,8850,8350,6400,4625,8750,8981,0
814,2,0,195.0,147.0,290.0,195.0,4501,2485,3247,1455,1254,1030,3445,1163,1965,860,1480,303,80,51,8650,7625,6900,4625,8950,9906,0
821,2,0,167.0,111.0,290.0,195.0,4579,2451,3303,1399,1276,1052,4010,1447,2370,1020,1640,427,80,53,6875,4750,6900,4625,10825,12781,0
7,2,0,13.0,13.0,15.0,15.0,251,293,251,293,0,0,30,35,30,35,0,0,12,12,0,0,0,0,0,0,0
14,2,0,14.0,14.0,15.0,15.0,671,671,671,671,0,0,70,70,70,70,0,0,13,13,0,0,0,0,0,0,0
21,2,0,14.0,14.0,15.0,15.0,755,699,755,699,0,0,50,50,50,50,0,0,13,13,0,0,0,0,0,0,0
29,2,0,15.0,15.0,15.0,15.0,783,699,783,699,0,0,90,40,90,40,0,0,14,14,0,0,0,0,0,0,0
36,2,0,15.0,15.0,23.0,15.0,839,755,839,755,0,0,150,135,150,135,0,0,14,14,0,0,0,0,0,0,0
43,2,0,16.0,16.0,23.0,23.0,867,783,867,783,0,0,40,75,40,75,0,0,15,15,0,0,0,0,0,0,0
50,2,0,17.0,16.0,23.0,23.0,867,839,867,839,0,0,65,45,65,45,0,0,16,15,0,0,0,0,0,0,0
57,2,0,18.0,17.0,23.0,23.0,867,783,867,783,0,0,130,40,130,40,0,0,17,16,0,0,0,0,0,0,0
64,2,0,19.0,18.0,23.0,23.0,951,867,951,867,0,0,190,140,190,140,0,0,18,17,0,0,0,0,0,0,0
71,2,0,19.0,18.0,23.0,23.0,973,883,951,839,22,44,304,238,300,230,4,8,18,17,0,0,0,0,0,0,0
79,2,0,20.0,19.0,23.0,23.0,1090,883,979,727,111,156,390,338,370,310,20,28,19,18,0,0,0,0,0,0,0
86,2,0,20.0,19.0,23.0,23.0,1057,967,923,811,134,156,361,463,325,415,36,48,19,18,0,0,150,0,0,0,0
93,2,0,21.0,20.0,23.0,23.0,1085,962,951,783,134,179,442,363,390,295,52,68,20,19,0,0,150,150,0,0,0
100,2,0,21.0,20.0,23.0,23.0,1107,990,951,811,156,179,177,478,105,390,72,88,21,19,0,0,150,150,0,0,0
107,2,0,22.0,20.0,23.0,23.0,1079,995,923,839,156,156,148,199,60,95,88,104,21,19,0,50,150,150,0,0,0
114,2,0,22.0,20.0,23.0,23.0,1135,967,979,811,156,156,208,314,100,190,108,124,21,19,0,50,150,150,0,0,0
121,2,0,25.0,21.0,31.0,23.0,1107,939,951,783,156,156,163,124,60,80,103,44,22,19,0,50,300,150,0,0,0
129,2,0,25.0,21.0,31.0,23.0,1135,995,979,839,156,156,143,154,70,140,73,14,22,20,0,50,300,150,0,0,0
136,2,0,26.0,22.0,31.0,23.0,1130,990,951,811,179,179,282,139,185,105,97,34,23,20,0,50,300,150,0,0,0
143,2,0,29.0,22.0,31.0,23.0,1298,1046,1007,867,291,179,238,119,205,65,33,54,24,20,125,50,300,150,0,0,0
150,2,0,30.0,23.0,31.0,23.0,1286,1107,951,951,335,156,188,270,115,200,73,70,25,21,125,50,300,150,0,0,0
157,2,0,30.0,24.0,31.0,31.0,1292,1191,979,1035,313,156,284,360,175,270,109,90,25,22,125,50,300,150,0,0,0
164,2,0,31.0,24.0,31.0,31.0,1292,1163,979,1007,313,156,279,495,180,385,99,110,26,22,125,50,300,500,0,0,0
171,2,0,34.0,29.0,46.0,31.0,1348,1303,1035,1147,313,156,79,70,40,40,39,30,26,23,275,50,300,600,0,0,0
179,2,0,36.0,29.0,46.0,46.0,1370,1331,1035,1175,335,156,204,80,125,30,79,50,28,23,275,50,300,600,0,0,0
186,2,0,37.0,30.0,46.0,46.0,1566,1270,1231,1091,335,179,340,165,225,95,115,70,30,24,275,50,300,600,0,0,0
193,2,0,38.0,30.0,46.0,46.0,1650,1326,1315,1147,335,179,440,335,285,245,155,90,30,24,275,250,300,600,0,0,0
200,2,0,41.0,35.0,46.0,46.0,1656,1326,1343,1147,313,179,216,250,75,140,141,110,31,25,450,250,450,600,0,0,0
207,2,0,42.0,38.0,46.0,46.0,1712,1449,1399,1203,313,246,366,112,185,95,181,17,32,25,450,250,700,850,0,0,0
214,2,0,43.0,38.0,46.0,46.0,1740,1712,1427,1399,313,313,136,342,15,285,121,57,33,26,450,250,700,850,0,0,0
221,2,0,44.0,40.0,46.0,46.0,1852,1790,1539,1455,313,335,252,342,95,245,157,97,34,27,450,450,700,925,0,0,0
229,2,0,45.0,45.0,46.0,46.0,1936,1964,1623,1651,313,313,437,213,240,205,197,8,36,28,625,450,800,925,0,0,0
236,2,0,46.0,45.0,46.0,46.0,2009,1930,1651,1595,358,335,617,123,380,75,237,48,37,29,625,650,800,925,0,0,0
243,2,0,51.0,47.0,54.0,54.0,2070,1964,1735,1651,335,313,363,144,190,60,173,84,37,29,975,650,900,925,0,0,0
250,2,0,52.0,49.0,54.0,54.0,2048,1852,1735,1539,313,313,544,244,335,120,209,124,38,29,975,750,1050,925,0,0,0
257,2,0,52.0,51.0,54.0,54.0,2048,1880,1735,1567,313,313,264,274,165,110,99,164,39,31,975,750,1300,925,50,0,0
264,2,0,51.0,51.0,62.0,54.0,1919,1986,1651,1651,268,335,391,519,335,315,56,204,40,31,825,1025,1300,925,200,100,0
271,2,0,53.0,54.0,62.0,62.0,1914,2014,1623,1679,291,335,502,254,410,135,92,119,40,33,825,1025,1300,925,200,100,0
279,2,0,53.0,56.0,70.0,62.0,1774,1958,1483,1623,291,335,269,380,145,225,124,155,40,33,825,1025,1300,925,200,100,0
286,2,0,57.0,60.0,70.0,62.0,2020,2098,1707,1763,313,335,294,310,180,165,114,145,42,35,1100,1125,1300,1225,200,100,0
293,2,0,58.0,58.0,70.0,62.0,2182,2160,1735,1847,447,313,510,466,340,285,170,181,43,35,1100,1025,1300,1225,200,200,0
300,2,0,59.0,62.0,70.0,62.0,2322,2188,1875,1875,447,313,221,561,145,340,76,221,44,37,1100,1400,1300,1350,200,200,0
307,2,0,63.0,62.0,70.0,62.0,2266,2266,1819,1931,447,335,123,586,95,375,28,211,45,37,1100,1300,1300,1500,200,300,0
314,2,0,65.0,66.0,70.0,70.0,2322,2322,1875,1987,447,335,150,351,70,300,80,51,46,39,1450,1300,1300,1500,200,300,0
321,2,0,67.0,68.0,70.0,70.0,2154,2143,1707,1763,447,380,357,314,225,265,132,49,48,39,1450,1400,1300,1500,200,300,0
329,2,0,67.0,70.0,70.0,70.0,2334,2334,1819,1819,515,515,651,416,455,311,196,105,48,41,1450,1525,1300,1500,200,300,0
336,2,0,68.0,70.0,70.0,70.0,2451,2250,1847,1735,604,515,758,227,540,174,218,53,50,41,1525,1750,1450,1500,300,300,0
343,2,0,70.0,78.0,78.0,78.0,2395,2429,1791,1959,604,470,656,306,470,210,186,96,50,43,1525,1750,1450,1500,300,300,0
350,2,0,77.0,78.0,93.0,78.0,2485,2317,1903,1847,582,470,98,171,40,115,58,56,52,43,1525,1750,1750,1500,300,300,0
357,2,0,79.0,78.0,93.0,78.0,2625,2406,2043,1847,582,559,80,153,50,75,30,78,52,45,1525,1850,1750,1600,300,300,0
364,2,0,82.0,78.0,101.0,78.0,2658,2608,2099,1959,559,649,304,248,210,115,94,133,55,45,1525,2100,1750,1600,300,300,0
371,2,0,83.0,90.0,101.0,94.0,2821,2714,2239,2043,582,671,300,329,130,145,170,184,56,45,1525,2100,1750,1600,300,300,0
379,2,0,86.0,94.0,101.0,94.0,2978,2686,2351,2015,627,671,141,239,95,175,46,64,58,47,1525,2100,1750,1600,300,300,0
386,2,0,87.0,94.0,101.0,94.0,3084,2748,2435,2099,649,649,362,366,240,230,122,136,58,47,2200,2200,1750,1600,300,300,0
393,2,0,89.0,98.0,101.0,110.0,3028,2496,2379,1847,649,649,457,466,305,300,152,166,60,47,2375,2550,1900,1600,300,400,0
400,2,0,96.0,102.0,101.0,110.0,3269,2586,2575,1959,694,627,287,507,255,365,32,142,61,47,2375,2550,2050,1500,300,425,0
407,2,0,96.0,100.0,101.0,118.0,3218,2608,2547,1959,671,649,683,837,575,615,108,222,62,47,2375,2950,2050,1500,300,525,0
414,2,0,96.0,99.0,109.0,118.0,3336,2698,2687,2071,649,627,1070,763,890,465,180,298,62,47,2375,3100,2150,1500,300,575,0
421,2,0,104.0,110.0,109.0,118.0,3286,2770,2659,2099,627,671,1061,303,805,175,256,128,62,46,2375,3350,2450,1500,300,625,0
429,2,0,102.0,110.0,109.0,118.0,3286,2877,2659,2183,627,694,1461,368,1125,210,336,158,62,46,2650,3150,2450,1500,425,825,0
436,2,0,102.0,110.0,109.0,118.0,3314,2888,2687,2239,627,649,856,405,640,175,216,230,62,48,2300,3250,2450,1500,775,825,0
443,2,0,108.0,112.0,109.0,118.0,3291,2698,2687,2071,604,627,648,401,360,195,288,206,62,48,3000,3450,2450,1500,775,825,0
450,2,0,108.0,116.0,109.0,118.0,3336,2692,2687,2043,649,649,544,521,180,285,364,236,62,48,3000,4100,2450,1500,775,825,0
457,2,0,108.0,118.0,109.0,118.0,3330,2664,2659,2015,671,649,940,286,500,20,440,266,62,50,3000,4100,2450,1500,775,825,0
464,2,0,108.0,118.0,117.0,118.0,3252,2586,2603,1959,649,627,1327,217,815,75,512,142,62,50,3000,4100,2450,1500,775,825,0
471,2,0,120.0,118.0,141.0,118.0,3286,2602,2659,1931,627,671,929,227,445,55,484,172,62,50,3600,4250,2450,1500,775,875,0
479,2,0,120.0,118.0,141.0,118.0,3202,2748,2575,2099,627,649,474,449,60,230,414,219,62,50,4100,4375,2450,1500,775,875,0
486,2,0,120.0,133.0,141.0,134.0,3297,2636,2715,1987,582,649,771,389,285,140,486,249,62,51,4100,4375,2750,1800,775,875,0
493,2,0,120.0,134.0,149.0,149.0,3207,2642,2603,2015,604,627,1157,620,595,295,562,325,62,51,4100,4375,3050,1800,775,875,0
500,2,0,136.0,135.0,165.0,149.0,3274,2496,2603,1847,671,649,747,640,105,310,642,330,62,52,4500,4475,3050,2000,775,875,0
507,2,0,139.0,141.0,165.0,165.0,3112,2692,2463,2043,649,649,954,295,240,135,714,160,62,54,4900,4925,3200,2000,775,875,0
514,2,0,137.0,145.0,165.0,165.0,2804,3078,2155,2407,649,671,955,281,165,170,790,111,63,55,4900,5325,3400,2075,875,875,0
521,2,0,138.0,143.0,180.0,165.0,2412,3162,1763,2491,649,671,1096,256,230,215,866,41,61,56,4900,5125,3400,2075,975,1075,0
529,2,0,143.0,143.0,180.0,165.0,2558,3336,1931,2687,627,649,1097,668,155,555,942,113,60,56,4900,5225,3400,2075,1025,1075,0
536,2,0,143.0,147.0,180.0,165.0,2972,3370,2323,2743,649,627,1327,484,305,295,1022,189,63,58,5200,5775,3400,2175,1025,1075,0
543,2,0,149.0,145.0,180.0,165.0,3190,3140,2519,2491,671,649,1222,864,320,595,902,269,63,58,5200,5950,3700,2175,1025,1175,0
